,title,authors,venue,year
A_20,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,sigmod record,2002
A_21,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",vldb,2000
A_22,a query language for a web-site management system,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",sigmod record,1997
A_23,supporting periodic authorizations and temporal reasoning in database access control,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",vldb,1996
A_24,free parallel data mining,"bin li , dennis shasha",sigmod conference,1998
A_25,high level indexing of user-defined types,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",vldb,1999
A_26,pc database systems - present and future,philip a. bernstein,vldb,1994
A_27,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001
A_28,a logical view of structured files,"tova milo , serge abiteboul , sophie cluet",vldb j.,1998
A_29,dbglobe : a service-oriented p2p system for global computing,"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras",sigmod record,2003
A_30,database patchwork on the internet,"reinhard braumandl , alfons kemper , donald kossmann",sigmod conference,1999
A_31,scientific databases - state of the art and future directions,"yannis e. ioannidis , maria zemankova",vldb,1994
A_32,a generic approach to bulk loading multidimensional index structures,"bernhard seeger , peter widmayer , jochen van den bercken",vldb,1997
A_33,data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces,"jörg sander , jianjun zhou",vldb,2003
A_34,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina , wilburt labio",vldb,1996
A_35,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",vldb,1996
A_36,efficient ir-style keyword search over relational databases,"yannis papakonstantinou , luis gravano , vagelis hristidis",vldb,2003
A_37,indexing of now-relative spatio-bitemporal data,"simonas saltenis , christian s. jensen",vldb j.,2002
A_38,"temporal coalescing with now , granularity , and incomplete information",curtis e. dyreson,sigmod conference,2003
A_39,database research at ut arlington,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",sigmod record,2003
A_40,why decision support fails and how to fix it,"kevin strehlo , ralph kimball",sigmod record,1995
A_41,a low-cost storage server for movie on demand databases,"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi",vldb,1994
A_42,generating call-level interfaces for advanced database application programming,"theo härder , norbert ritter , udo nink",vldb,1999
A_43,clustering by pattern similarity in large data sets,"haixun wang , wei wang , philip s. yu , jiong yang",sigmod conference,2002
A_44,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz",sigmod conference,2000
A_45,fact : a learning based web query processing system,"zengping tian , hongjun lu , yanlei diao , songting chen",sigmod conference,2000
A_46,sql multimedia and application packages ( sql/mm ),"jim melton , andrew eisenberg",sigmod record,2001
A_47,bellcore 's adapt/x harness system for managing information on internet and intranets,amit p. sheth,vldb,1996
A_48,xml data management go native or spruce up relational systems ? ( panel abstract ),per-åke larson,sigmod conference,2001
A_49,an overview of data warehousing and olap technology,"surajit chaudhuri , umeshwar dayal",sigmod record,1997
A_50,staggered striping in multimedia information systems,"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju",sigmod conference,1994
A_51,multimedia streaming in large-scale sensor networks with mobile swarms,"mario gerla , kaixin xu",sigmod record,2003
A_52,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994
A_53,materialization : a powerful and ubiquitous abstraction pattern,"alain pirotte , esteban zimányi , tatiana yakusheva , david massart",vldb,1994
A_54,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta",sigmod conference,2001
A_55,data modelling in the large,martin bertram,sigmod record,1994
A_56,updating xml,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001
A_57,research in information managment at dublin city university,"alan f. smeaton , mark roantree",sigmod record,2002
A_58,the multidimensional database system rasdaman,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado",sigmod conference,1998
A_59,analyzing energy behavior of spatial access methods for memory-resident data,"anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir",vldb,2001
A_60,the value of merge-join and hash-join in sql server,goetz graefe,vldb,1999
A_61,efficient execution of joins in a star schema,andreas weininger,sigmod conference,2002
A_62,picodmbs : scaling down database techniques for the smartcard,"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau",vldb,2000
A_63,multi-dimensional substring selectivity estimation,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",vldb,1999
A_64,the intrinsic problems of structural heterogeneity and an approach to their solution,"theo härder , joachim thomas , günter sauter",vldb j.,1999
A_65,a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999
A_66,"domains , relations and religious wars",rafael camps,sigmod record,1996
A_67,the data-centric revolution in networking,scott shenker,vldb,2003
A_68,cache-and-query for wide area sensor databases,"phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande",sigmod conference,2003
A_69,a cost model for clustered object-oriented databases,"zhao-hui tang , jean-robert gruser , georges gardarin",vldb,1995
A_70,expiring data in a warehouse,"wilburt labio , jun yang , hector garcia-molina",vldb,1998
A_71,opportunities in information management and assurance,xiaolei qian,sigmod record,1997
A_72,finding data in the neighborhood,"andré eickler , alfons kemper , donald kossmann",vldb,1997
A_73,prefer : a system for the efficient execution of multi-parametric ranked queries,"yannis papakonstantinou , vagelis hristidis , nick koudas",sigmod conference,2001
A_74,editor 's notes,ling liu,sigmod record,2002
A_75,rainbow : mapping-driven xquery processing system,"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ",sigmod conference,2002
A_76,algebraic query optimisation for database programming languages,"carol small , alexandra poulovassilis",vldb j.,1996
A_77,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995
A_78,the ores temporal database management system,"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos",sigmod conference,1994
A_79,magic conditions,"hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein",acm trans . database syst .,1996
A_80,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"wolfgang klas , frank moser , achim kraiss",vldb,1995
A_81,"ubiquitous , self-tuning , scalable servers",peter m. spiro,sigmod conference,1998
A_82,explaining differences in multidimensional aggregates,sunita sarawagi,vldb,1999
A_83,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , james z. teng , jen-yao chung",vldb,1995
A_84,database in crisis and transition : a technical agenda for the year 2001,david vaskevitch,sigmod conference,1994
A_85,"workflow automation : applications , technology , and research ( tutorial )",amit p. sheth,sigmod conference,1995
A_86,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )","krishna kant , prasant mohapatra",sigmod record,2000
A_87,a scalable algorithm for answering queries using views,"rachel pottinger , alon y. levy",vldb,2000
A_88,why i like working in academia,richard t. snodgrass,sigmod record,2002
A_89,efficient and tunable similar set retrieval,"dimitrios gunopulos , aristides gionis , nick koudas",sigmod conference,2001
A_90,fast and accurate text classification via multiple linear discriminant projections,"mahesh v. soundalgekar , soumen chakrabarti , shourya roy",vldb,2002
A_91,"business process coordination : state of the art , trends , and open issues","meichun hsu , rivka ladin , umeshwar dayal",vldb,2001
A_92,work and information practices in the sciences of biodiversity,geoffrey c. bowker,vldb,2000
A_93,data modeling of time-based media,"simon j. gibbs , christian breiteneder , dennis tsichritzis",sigmod conference,1994
A_94,space optimization in deductive databases,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton",acm trans . database syst .,1995
A_95,chair 's message,richard t. snodgrass,sigmod record,2000
A_96,trade press news - announcement and preface,rafael alonso,sigmod record,1994
A_97,improving index performance through prefetching,"shimin chen , todd c. mowry , phillip b. gibbons",sigmod conference,2001
A_98,new programs at darpa and nsf,xiaolei qian,sigmod record,1996
A_99,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994
A_100,"physical data independence , constraints , and optimization with universal plans","lucian popa , alin deutsch , val tannen",vldb,1999
A_101,an adaptive query execution system for data integration,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu",sigmod conference,1999
A_102,the semantic web paving the way to the knowledge society,pierre-paul sondag,vldb,2001
A_103,parallel algorithms for high-dimensional similarity joins for data mining applications,"rakesh agrawal , john c. shafer",vldb,1997
A_104,path sharing and predicate evaluation for high-performance xml filtering,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",acm trans . database syst .,2003
A_105,processing set expressions over continuous update streams,"sumit ganguly , minos n. garofalakis , rajeev rastogi",sigmod conference,2003
A_106,performance measurements of compressed bitmap indices,theodore johnson,vldb,1999
A_107,hierarchical prefix cubes for range-sum queries,"chee yong chan , yannis e. ioannidis",vldb,1999
A_108,removing permissions in the flexible authorization framework,"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia",acm trans . database syst .,2003
A_109,ariadne : a system for constructing mediators for internet sources,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish",sigmod conference,1998
A_110,multiway spatial joins,"dimitris papadias , nikos mamoulis",acm trans . database syst .,2001
A_111,implementing data cubes efficiently,"anand rajaraman , jeffrey d. ullman , venky harinarayan",sigmod conference,1996
A_112,recent design trade-offs in sql3,"nelson mendonça mattos , linda g. demichiel",sigmod record,1994
A_113,sqlj-part 1 : sql routines using the java programming language,"andrew eisenberg , jim melton",sigmod record,1999
A_114,similarity-based queries for time series data,"alberto o. mendelzon , davood rafiei",sigmod conference,1997
A_115,"a distributed scientific data archive using the web , xml and sql/med","alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani",sigmod record,1999
A_116,viator - a tool family for graphical networking and data view creation,"katja tham , axel kilian , dieter merkel , peter rieger , stephan heymann , gunnar wegner , johann christoph freytag",vldb,2002
A_117,information warfare and security - book review,h. v. jagadish,sigmod record,2001
A_118,the persistent cache : improving oid indexing in temporal object-oriented database systems,kjetil nørvåg,vldb,1999
A_119,estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,"christos faloutsos , alberto belussi",vldb,1995
A_120,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,"dennis mcleod , goksel aslan",vldb j.,1999
A_121,performance evaluation of a new distributed deadlock detection algorithm,"chim-fu yeung , kam-yiu lam , sheung-lun hung",sigmod record,1994
A_122,sql and management of external data,"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski",sigmod record,2001
A_123,"aquery : query language for ordered data , optimization techniques , and experiments","alberto lerner , dennis shasha",vldb,2003
A_124,resource scheduling in enhanced pay-per-view continuous media databases,"banu özden , minos n. garofalakis , abraham silberschatz",vldb,1997
A_125,review : a real time virtual walkthrough system,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001
A_126,a modified random perturbation method for database security,"norman s. matloff , patrick tendick",acm trans . database syst .,1994
A_127,managing web data,dan suciu,sigmod conference,1999
A_128,loading the data warehouse across various parallel architectures,vijay v. raghavan,vldb,1996
A_129,hodfa : an architectural framework for homogenizing heterogeneous legacy database,"qing li , kamalakar karlapalem , chung-dak shum",sigmod record,1995
A_130,"database tuning : principles , experiments , and troubleshooting techniques","philippe bonnet , dennis shasha",vldb,2002
A_131,reminiscences an influential papers,"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",sigmod record,2003
A_132,application of oodb and sgml techniques in text database : an electronic dictionary system,jian zhang,sigmod record,1995
A_133,java and relational databases : sqlj ( tutorial ),"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",sigmod conference,1998
A_134,covering indexes for branching path queries,"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon",sigmod conference,2002
A_135,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",sigmod conference,1995
A_136,career-enhancing services at sigmod online,"alexandros labrinidis , alberto o. mendelzon",sigmod record,2001
A_137,revisiting commit processing in distributed database systems,"krithi ramamritham , jayant r. haritsa , ramesh gupta",sigmod conference,1997
A_138,type-checking oql queries in the odmg type systems,suad alagic,acm trans . database syst .,1999
A_139,things every update replication customer should know,rob golding,sigmod conference,1995
A_140,in memory of gísli r. hjaltason,björn þór jónsson,sigmod record,2003
A_141,query optimization by predicate move-around,"inderpal singh mumick , alon y. levy , yehoshua sagiv",vldb,1994
A_142,catching the boat with strudel : experiences with a web-site management system,"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",sigmod conference,1998
A_143,adaptable query optimization and evaluation in temporal middleware,"christian s. jensen , richard t. snodgrass , giedrius slivinskas",sigmod conference,2001
A_144,birch : an efficient data clustering method for very large databases,"raghu ramakrishnan , miron livny , tian zhang",sigmod conference,1996
A_145,time-parameterized queries in spatio-temporal databases,"dimitris papadias , yufei tao",sigmod conference,2002
A_146,scalable parallel data mining for association rules,"eui-hong han , vipin kumar , george karypis",sigmod conference,1997
A_147,an algebraic approach to static analysis of active database rules,"jennifer widom , elena baralis",acm trans . database syst .,2000
A_148,os support for vldbs : unix enhancements for the teradata data base,"sorana rabinovici , john catozzi",vldb,1995
A_149,dwarf : shrinking the petacube,"yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos",sigmod conference,2002
A_150,thinksheet : a tool for tailoring complex documents,"dao-i lin , peter piatko , roman yangarber , dennis shasha",sigmod conference,1996
A_151,on-line reorganization of sparsely-populated b + trees,"betty salzberg , chendong zou",sigmod conference,1996
A_152,handling very large databases with informix extended parallel server,andreas weininger,sigmod conference,2000
A_153,including group-by in query optimization,"surajit chaudhuri , kyuseok shim",vldb,1994
A_154,value-cognizant speculative concurrency control,"azer bestavros , spyridon braoudakis",vldb,1995
A_155,data mining : practical machine learning tools and techniques - book review,james geller,sigmod record,2002
A_156,report on the 8th international workshop on knowledge representation meets databases ( krdb ),"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",sigmod record,2001
A_157,starts : stanford proposal for internet meta-searching ( experience paper ),"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke",sigmod conference,1997
A_158,the x-tree : an index structure for high-dimensional data,"hans-peter kriegel , stefan berchtold , daniel a. keim",vldb,1996
A_159,eliminating fuzzy duplicates in data warehouses,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",vldb,2002
A_160,a database striptease or how to manage your personal databases,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten",vldb,2003
A_161,an ebxml infrastructure implementation through uddi registries and rosettanet pips,"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu",sigmod conference,2002
A_162,temporal database system implementations,michael h. böhlen,sigmod record,1995
A_163,xsearch : a semantic search engine for xml,"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou",vldb,2003
A_164,opossum : desk-top schema management through customizable visualization,"miron livny , eben m. haber , yannis e. ioannidis",vldb,1995
A_165,atomicity and isolation for transactional processes,"hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri",acm trans . database syst .,2002
A_166,logical logging to extend recovery to new domains,"david b. lomet , mark r. tuttle",sigmod conference,1999
A_167,the impress ddt : a database design toolbox based on a formal specification language,"jacek skowronek , maurice van keulen , jan flokstra",sigmod conference,1994
A_168,online aggregation,"helen j. wang , peter j. haas , joseph m. hellerstein",sigmod conference,1997
A_169,"semi-automatic , self-adaptive control of garbage collection rates in object databases","artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook",sigmod conference,1996
A_170,a single pass computing engine for interactive analysis of vldbs,ted mihalisin,vldb,1998
A_171,fast nearest neighbor search in medical image databases,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos",vldb,1996
A_172,metadata for digital media : introduction to the special issue,"amit p. sheth , wolfgang klas",sigmod record,1994
A_173,"in reply to domains , relations and religious wars",hugh darwen,sigmod record,1996
A_174,bank of america case study : the information currency advantage,"mark jahnke , felipe cariño",vldb,1998
A_175,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",vldb j.,2002
A_176,fine-grained sharing in a page server oodbms,"michael j. carey , markos zaharioudakis , michael j. franklin",sigmod conference,1994
A_177,adept : an agent-based approach to business process management,"timothy j. norman , nicholas r. jennings , peyman faratin",sigmod record,1998
A_178,introduction to the career forum column,alexandros labrinidis,sigmod record,2001
A_179,image mining in iris : integrated retinal information system,"kheng guan goh , wynne hsu , mong-li lee",sigmod conference,2000
A_180,enterprise information architectures -- they 're finally changing,wesley p. melling,sigmod conference,1994
A_181,integrating information for on demand computing,nelson mendonça mattos,vldb,2003
A_182,thémis : a database programming language handling integrity constraints,"anne doucet , véronique benzaken",vldb j.,1995
A_183,an introduction to deductive database languages and systems,"kotagiri ramamohanarao , james harland",vldb j.,1994
A_184,information management challenges from the aerospace industry,suryanarayana m. sripada,vldb,2002
A_185,state of the art in workflow management research and products,c. mohan,sigmod conference,1996
A_186,videoanywhere : a system for searching and managing distributed video assets,"amit p. sheth , kshitij shah , clemens bertram",sigmod record,1999
A_187,phoenix project : fault-tolerant applications,"roger s. barga , david b. lomet",sigmod record,2002
A_188,cluster validity methods : part i,"michalis vazirgiannis , yannis batistakis , maria halkidi",sigmod record,2002
A_189,directv and oracle rdb : the challenges of vldb transaction processing,william l. gettys,sigmod conference,1995
A_190,ensuring relaxed atomicity for flexible transactions in multidatabase systems,"bharat k. bhargava , aidong zhang , marian h. nodine , omran a. bukhres",sigmod conference,1994
A_191,"replication , consistency , and practicality : are these mutually exclusive ?","avishai wool , henry f. korth , yuri breitbart , todd a. anderson",sigmod conference,1998
A_192,a-topss - a publish/subscribe system supporting approximate matching,"hans-arno jacobsen , haifeng liu",vldb,2002
A_193,searching in metric spaces with user-defined and approximate distances,"marco patella , paolo ciaccia",acm trans . database syst .,2002
A_194,algorithms for deferred view maintenance,"leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothy griffin",sigmod conference,1996
A_195,design and development of a stream service in a heterogenous client environment,"stavros christodoulakis , nikos pappas",vldb,2000
A_196,cougar : the network is the database,"wai fu fung , david sun , johannes gehrke",sigmod conference,2002
A_197,the data that you wo n't find in databases : tutorial panel on data exchange formats,"david maier , peter buneman",sigmod conference,1995
A_198,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000
A_199,silkroute : a framework for publishing relational data in xml,"dan suciu , yana kadiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima",acm trans . database syst .,2002
A_200,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"dimitris papadias , jimeng sun , yufei tao",vldb,2003
A_201,editor 's notes,jennifer widom,sigmod record,1996
A_202,mapping adaptation under evolving schemas,"yannis velegrakis , lucian popa , renée j. miller",vldb,2003
A_203,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,"gang qian , qiang xue , sakti pramanik , qiang zhu",vldb,2003
A_204,transactional publish / subscribe : the proactive multicast of database changes,arvola chan,sigmod conference,1998
A_205,exploiting constraint-like data characterizations in query optimization,"jarek gryz , calisto zuzarte , parke godfrey",sigmod conference,2001
A_206,metu interoperable database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",sigmod conference,1996
A_207,clustering techniques for minimizing external path length,"a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri",vldb,1996
A_208,the national medical knowledge bank,warren sterling,vldb,1998
A_209,guest editorial,"vijay atluri , anupam joshi , yelena yesha",vldb j.,2003
A_210,report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro , troels andreasen",sigmod record,2003
A_211,an automated system for web portal personalization,"philip s. yu , charu c. aggarwal",vldb,2002
A_212,webfilter : a high-throughput xml-based publish and subscribe system,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira",vldb,2001
A_213,ogdi : toward interoperability among geospatial databases,"denis gouin , henry kucera , christian larouche , gilles clement , paul morin",sigmod record,1997
A_214,editor 's notes,michael j. franklin,sigmod record,2000
A_215,dimensionality reduction for similarity searching in dynamic databases,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal",sigmod conference,1998
A_216,push technology personalization through event correlation,"asaf adi , david botzer , tali yatzkar-haham , opher etzion",vldb,2000
A_217,oracle industrial exhibit,amy pogue,vldb,1998
A_218,a one-pass algorithm for accurately estimating quantiles for disk-resident data,"khaled alsabti , vineet singh , sanjay ranka",vldb,1997
A_219,editor 's notes,ling liu,sigmod record,2001
A_220,translating web data,"renée j. miller , ronald fagin , yannis velegrakis , mauricio a. hernández , lucian popa",vldb,2002
A_221,repository system engineering,philip a. bernstein,sigmod conference,1996
A_222,sigmod sister societies,"z. meral özsoyoglu , stefano ceri , victor vianu , masaru kitsuregawa , leonid a. kalinichenko , hongjun lu , richard t. snodgrass",sigmod record,2000
A_223,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"michael gertz , can türker",vldb j.,2001
A_224,"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis","alfons kemper , donald kossmann",vldb j.,1995
A_225,implementing xquery,paul cotton,sigmod conference,2002
A_226,mining surprising patterns using temporal description length,"soumen chakrabarti , byron dom , sunita sarawagi",vldb,1998
A_227,continually evaluating similarity-based pattern queries on a streaming time series,"like gao , xiaoyang sean wang",sigmod conference,2002
A_228,efficient approximation of optimization queries under parametric aggregation constraints,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha",vldb,2003
A_229,the aditi deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",vldb j.,1994
A_230,on random sampling over joins,"vivek r. narasayya , surajit chaudhuri , rajeev motwani",sigmod conference,1999
A_231,feedbackbypass : a new approach to interactive similarity query processing,"paolo ciaccia , florian waas , ilaria bartolini",vldb,2001
A_232,a multimedia presentation algebra,"maria luisa sapino , sibel adali , v. s. subrahmanian",sigmod conference,1999
A_233,a structured approach for the definition of the semantics of active databases,"letizia tanca , piero fraternali",acm trans . database syst .,1995
A_234,fast algorithms for mining association rules in large databases,"ramakrishnan srikant , rakesh agrawal",vldb,1994
A_235,"large-scale , standards-based earth observation imagery and web mapping services",peter baumann,vldb,2003
A_236,combinatorial pattern discovery for scientific data : some preliminary results,"kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha",sigmod conference,1994
A_237,partition based spatial-merge join,"david j. dewitt , jignesh m. patel",sigmod conference,1996
A_238,webservice composition with o'grape and osiris,"christoph schuler , hans-jörg schek , patrick neukomm , roger weber , heiko schuldt",vldb,2003
A_239,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"daniel a. keim , alexander hinneburg",vldb,1999
A_240,the database group at university of hagen ( fernuniversitaet ),"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes",sigmod record,1995
A_241,extended wavelets for multiple measures,"antonios deligiannakis , nick roussopoulos",sigmod conference,2003
A_242,business modelling using sql spreadsheets,"nathan folkert , abhinav gupta , andrew witkowski , srikanth bellamkonda , lei sheng , tolga bozkaya , sankar subramanian",vldb,2003
A_243,optimal multi-step k-nearest neighbor search,"thomas seidl , hans-peter kriegel",sigmod conference,1998
A_244,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,sigmod conference,2002
A_245,an experimental system for object-based sharing in federated databases,"shahram ghandeharizadeh , doug fang",vldb j.,1996
A_246,the lotus notes storage system,kenneth moore,sigmod conference,1995
A_247,schema-driven customization of web services,"bernd amann , serge abiteboul , jérôme baumgarten , omar benjelloun , tova milo , frederic dang ngoc",vldb,2003
A_248,evaluation of remote backup algorithms for transaction-processing systems,"christos a. polyzois , hector garcia-molina",acm trans . database syst .,1994
A_249,using schematically heterogeneous structures,renée j. miller,sigmod conference,1998
A_250,generalised hash teams for join and group-by,"donald kossmann , alfons kemper , christian wiesner",vldb,1999
A_251,"tpc-ds , taking decision support benchmarking to the next level","bryan smith , meikel pöss , lubor kollár , per-åke larson",sigmod conference,2002
A_252,heterogeneous database query optimization in db2 universal datajoiner,"shivakumar venkataraman , tian zhang",vldb,1998
A_253,processing object-oriented queries with invertible late bound functions,"tore risch , staffan flodin",vldb,1995
A_254,combining fuzzy information : an overview,ronald fagin,sigmod record,2002
A_255,"nexusscout : an advanced location-based application on a distributed , open mediation platform","matthias großmann , thomas schwarz , daniela nicklas",vldb,2003
A_256,incremental clustering for mining in a data warehousing environment,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",vldb,1998
A_257,efficient similarity search and classification via rank aggregation,"ravi kumar , d. sivakumar , ronald fagin",sigmod conference,2003
A_258,using extended feature objects for partial similarity retrieval,"hans-peter kriegel , stefan berchtold , daniel a. keim",vldb j.,1997
